Date,Task,Project,Count
,Debug Satr,SATR,5
,One Intentional life Morning routines Ep 10,Podcast ,2
,300 miles run,Health goal,1
,Read Bhagavad Gita,Reading,1
2016-02-02,,,
,Pref name first IBE,A/B projects,7
2016-02-03,,,
,HIIT,Health goal,2
,Read Bhagavad Gita,Reading,1
,One Intentional life Morning routines Ep 10,Podcast ,1
2016-02-04,,,
,Pref name first IBE,A/B projects,4
2016-02-05,,,
,Foursquare Coding,ML related,2
,"Emails, Call, run online errands",iPhone Calendar Event,1
,HIIT,Health goal,1
,Pref name first IBE,A/B projects,1
,Arms day,Habbit,1
2016-02-06,,,
,Weekly review every week,Habbit,1
,Foursquare Coding,ML related,2
,Daily Review,Habbit,2
,300 miles run,Health goal,2
,Foursquare blogging,ML related,4
2016-02-07,,,
,Pref name first IBE,A/B projects,12
2016-02-08,,,
,Legs day,Habbit,1
,HIIT,Health goal,1
2016-02-10,,,
,HIIT,Health goal,1
2016-02-13,,,
,300 miles run,Health goal,2
,Meditation,Habbit,1
,Daily Tasks,,1
2016-02-16,,,
,HIIT,Health goal,1
,Chest,Habbit,1
,Pref name first IBE,A/B projects,6
2016-02-17,,,
,Pref name first IBE,A/B projects,6
2016-02-18,,,
,Pref name first IBE,A/B projects,4
2016-02-19,,,
,Daily Review,Habbit,1
2016-02-20,,,
,One intentional life Read it Later Ep 11,Podcast ,1
,Clean house,Habbit,2
,300 miles run,Health goal,2
2016-02-21,,,
,One intentional life Read it Later Ep 11,Podcast ,2
2016-02-22,,,
,One Intentional life Speed reading Ep 14,Podcast ,3
,Pref name first IBE,A/B projects,5
2016-02-23,,,
,Map fresh viewport,A/B projects,3
,Pref name first IBE,A/B projects,2
2016-02-24,,,
,Pref name first IBE,A/B projects,2
2016-02-25,,,
,Pref name first IBE,A/B projects,5
2016-02-26,,,
,Pref name first IBE,A/B projects,4
2016-02-27,,,
,300 miles run,Health goal,2
2016-02-28,,,
,Weekly review every week,Habbit,1
,One Intentional life Speed reading Ep 14,Podcast ,2
,Mining massive data set,ML related,2
,Foursquare blogging,ML related,8
2016-02-29,,,
,Mining massive data set,ML related,4
,One Intentional life Speed reading Ep 14,Podcast ,1
,Foursquare blogging,ML related,1
2016-03-01,,,
,Collect notes,Siri API work,3
2016-03-02,,,
,300 miles run,Health goal,1
,Pref name first IBE,A/B projects,1
,3 most imp. task for tomorrow,iPhone Calendar Event,1
,Collect notes,Siri API work,5
,Foursquare blogging,ML related,6
2016-03-03,,,
,Pref name first IBE,A/B projects,2
,Collect notes,Siri API work,1
,Code review 2,Work Apple,2
2016-03-04,,,
,Foursquare blogging,ML related,2
2016-03-05,,,
,Clean house,Habbit,1
,HIIT,Health goal,1
,Meditation,Habbit,2
,"Errands, Email, calls",Habbit,3
2016-03-06,,,
,Sort Pocket Read It later,Habbit,1
,Weekly review every week,Habbit,1
,One Intentional life Speed reading Ep 14,Podcast ,1
,"Errands, Email, calls",Habbit,2
,Mining massive data set,ML related,7
,Foursquare blogging,ML related,1
2016-03-07,,,
,ADHD experts podcast,Podcast,2
,Figure out library D3,ML related,2
,Pref name first IBE,A/B projects,3
,Pomodoro Coding,ML related,2
,Collect notes,Siri API work,1
,Protocol changes,Siri API work,3
,ADHD re-wired,Podcast,2
2016-03-08,,,
,Pomodoro Coding,ML related,6
,Pref name first IBE,A/B projects,4
,HIIT,Health goal,1
,Collect notes,Siri API work,1
2016-03-09,,,
,Pref name first IBE,A/B projects,2
2016-03-10,,,
,Figure out library D3,ML related,1
,Pomodoro Coding,ML related,2
2016-03-11,,,
,ADHD re-wired,Podcast,1
,Medium Blogging,Habbit,2
,Pomodoro Coding,ML related,4
2016-03-12,,,
,Pomodoro Coding,ML related,4
,300 miles run,Health goal,2
,Clean house,Habbit,2
,ADHD re-wired,Podcast,1
,Meditation,Habbit,1
,"Errands, Email, calls",Habbit,5
2016-03-13,,,
,Pomodoro Coding,ML related,1
,ADHD re-wired,Podcast,1
,"Errands, Email, calls",Habbit,1
,Mining massive data set,ML related,5
2016-03-14,,,
,ADHD re-wired,Podcast,1
,One Intentional life Speed reading Ep 14,Podcast ,1
,300 miles run,Health goal,1
2016-03-15,,,
,Weekly review every week,Habbit,1
,Collect notes,Siri API work,1
2016-03-16,,,
,Pomodoro Coding,ML related,3
,300 miles run,Health goal,1
,Clean house,Habbit,1
,Meditation,Habbit,2
,Collect notes,Siri API work,2
2016-03-21,,,
,Protocol changes,Siri API work,4
,300 miles run,Health goal,1
2016-03-22,,,
,ADHD re-wired,Podcast,1
,Protocol changes,Siri API work,3
2016-03-23,,,
,Protocol changes,Siri API work,1
,"Errands, Email, calls",Habbit,1
2016-03-24,,,
,HIIT,Health goal,1
,Protocol changes,Siri API work,1
,Meditation,Habbit,1
2016-03-25,,,
,ADHD re-wired,Podcast,2
2016-03-27,,,
,300 miles run,Health goal,1
2016-03-29,,,
,ADHD re-wired,Podcast,2
,300 miles run,Health goal,1
,NAME Global Results,A/B projects,7
2016-03-30,,,
,"Errands, Email, calls",Habbit,2
,Clean house,Habbit,1
,NAME Global Results,A/B projects,3
2016-03-31,,,
,Protocol changes,Siri API work,1
,NAME Global Results,A/B projects,2
2016-04-01,,,
,NAME Global Results,A/B projects,3
2016-04-02,,,
,Clean house,Habbit,1
2016-04-03,,,
,ADHD re-wired,Podcast,1
,NY restaurant Coding,ML related,1
2016-04-04,,,
,SFE changes,Siri API work,3
,NAME Global Results,A/B projects,3
2016-04-05,,,
,SFE changes,Siri API work,3
,NAME Global Results,A/B projects,5
2016-04-06,,,
,SFE changes,Siri API work,5
,300 miles run,Health goal,1
,NAME Global Results,A/B projects,4
2016-04-07,,,
,NAME Global Results,A/B projects,9
2016-04-08,,,
,"Errands, Email, calls",Habbit,3
2016-04-09,,,
,Weekly review every week,Habbit,1
,Clean house,Habbit,1
,"Errands, Email, calls",Habbit,5
2016-04-10,,,
,Clean house,Habbit,3
,SciPy 2013 part1,ML related,4
,Yoga,Habbit,2
,SciPy 2013 part2,ML related,4
,Meditation,Habbit,1
2016-04-11,,,
,NAME Global Results,A/B projects,5
,Protocol changes,Siri API work,1
,SFE changes,Siri API work,2
,Legs day,Habbit,1
,Biking,Exercises ,1
2016-04-12,,,
,NAME Global Results,A/B projects,3
2016-04-14,,,
,Arms day,Habbit,1
,Biking stationary,Habbit,1
2016-04-16,,,
,Yoga,Habbit,1
,Clean house,Habbit,1
,Biking stationary,Habbit,1
,SFE Navigation type aware results,Siri API work,8
2016-04-17,,,
,Core strength,Habbit,2
,"Errands, Email, calls",Habbit,5
2016-04-18,,,
,Sort Pocket Read It later,Habbit,1
,SFE Navigation type aware results,Siri API work,8
2016-04-19,,,
,Core strength,Habbit,1
,Code review 2,Work Apple,2
,Meditation,Habbit,1
,SFE Navigation type aware results,Siri API work,4
2016-04-21,,,
,HIIT,Health goal,1
,Core strength,Habbit,1
2016-04-23,,,
,Core strength,Habbit,1
,Gym treadmill run,Habbit,1
2016-04-24,,,
