Date,Pomodoro,Project,Count
2016-08-29,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,2
2016-08-31,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,4
2016-09-01,"Assignment 1: SVM, Neural net",Convolutional NN for Visual Recognition,3
2017-03-05,Assignment 2 Finding Lanes Lines,Udacity Self Driving cars,19
2016-09-27,Assignment 2: Batch Normalization,Convolutional NN for Visual Recognition,5
2016-09-30,Assignment 2: Batch Normalization,Convolutional NN for Visual Recognition,5
2016-10-05,Assignment 2: Convolution Network,Convolutional NN for Visual Recognition,5
2016-10-06,Assignment 2: Convolution Network,Convolutional NN for Visual Recognition,15
2016-10-10,Assignment 2: Convolution Network,Convolutional NN for Visual Recognition,2
2016-10-11,Assignment 2: Convolution Network,Convolutional NN for Visual Recognition,5
2016-10-12,Assignment 2: Convolution Network,Convolutional NN for Visual Recognition,6
2016-10-13,Assignment 2: Convolution Network,Convolutional NN for Visual Recognition,6
2016-12-15,Assignment 2: Convolution Network,Convolutional NN for Visual Recognition,11
2016-09-30,Assignment 2: Dropout,Convolutional NN for Visual Recognition,4
2017-05-04,Assignment 2: Finding lanes re-work,Udacity Self Driving cars,8
2017-05-05,Assignment 2: Finding lanes re-work,Udacity Self Driving cars,1
2016-09-22,Assignment 2: Fully-connected Neural Network,Convolutional NN for Visual Recognition,13
2016-09-25,Assignment 2: Fully-connected Neural Network,Convolutional NN for Visual Recognition,3
2016-10-20,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,6
2016-10-26,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,6
2016-10-28,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,1
2016-11-03,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,6
2016-11-07,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,1
2016-11-10,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,1
2016-12-12,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,5
2016-12-14,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,4
2016-12-15,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,5
2016-12-20,Assignment 3: Image Captioning with RNN,Convolutional NN for Visual Recognition,7
2017-01-21,Assignment 3: Image Generation,Convolutional NN for Visual Recognition,5
2017-01-22,Assignment 3: Image Generation,Convolutional NN for Visual Recognition,1
2017-01-21,Assignment 3: Image Gradients,Convolutional NN for Visual Recognition,5
2017-03-24,Assignment 3: Traffic Sign Classifier Advance...,Udacity Self Driving cars,6
2017-03-28,Assignment 3: Traffic Sign Classifier Advance...,Udacity Self Driving cars,5
2017-03-29,Assignment 3: Traffic Sign Classifier Advance...,Udacity Self Driving cars,15
2017-03-31,Assignment 3: Traffic Sign Classifier Advance...,Udacity Self Driving cars,8
2017-04-04,Assignment 3: Traffic Sign Classifier Advance...,Udacity Self Driving cars,6
2017-04-07,Assignment 3: Traffic Sign Classifier Advance...,Udacity Self Driving cars,7
2017-04-09,Assignment 3: Traffic Sign Classifier Advance...,Udacity Self Driving cars,14
2017-04-10,Assignment 3: Traffic Sign Classifier Advance...,Udacity Self Driving cars,2
2017-04-13,Assignment 4: Behavior Cloning,Udacity Self Driving cars,2
2017-04-14,Assignment 4: Behavior Cloning,Udacity Self Driving cars,14
2017-04-25,Assignment 4: Behavior Cloning,Udacity Self Driving cars,6
2017-04-26,Assignment 4: Behavior Cloning,Udacity Self Driving cars,17
2017-04-27,Assignment 4: Behavior Cloning,Udacity Self Driving cars,21
2017-01-29,Assignment 4: Convolutional Models,Google Udacity Deep learning,4
2017-01-30,Assignment 4: Convolutional Models,Google Udacity Deep learning,4
2017-01-31,Assignment 4: Convolutional Models,Google Udacity Deep learning,2
2017-02-01,Assignment 4: Convolutional Models,Google Udacity Deep learning,5
2017-05-21,Assignment 5 : Vehicle Detection,Udacity Self Driving cars,1
2017-05-22,Assignment 5 : Vehicle Detection,Udacity Self Driving cars,3
2017-05-23,Assignment 5 : Vehicle Detection,Udacity Self Driving cars,4
2017-05-24,Assignment 5 : Vehicle Detection,Udacity Self Driving cars,7
2017-05-25,Assignment 5 : Vehicle Detection,Udacity Self Driving cars,3
2017-05-26,Assignment 5 : Vehicle Detection,Udacity Self Driving cars,1
2017-05-28,Assignment 5 : Vehicle Detection,Udacity Self Driving cars,11
2017-05-29,Assignment 5 : Vehicle Detection,Udacity Self Driving cars,14
2017-05-05,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,14
2017-05-06,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,6
2017-05-09,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,6
2017-05-10,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,4
2017-05-11,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,10
2017-05-12,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,10
2017-05-16,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,7
2017-05-17,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,2
2017-05-18,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,7
2017-05-19,Assignment 5: Advance Lane Finding,Udacity Self Driving cars,6
2017-06-02,Assignment 5: Word2Vec CBOW,Google Udacity Deep learning,18
2017-02-01,Assignment 5: Word2Vec Skip grams,Google Udacity Deep learning,4
2017-02-05,Assignment 5: Word2Vec Skip grams,Google Udacity Deep learning,7
2017-02-06,Assignment 5: Word2Vec Skip grams,Google Udacity Deep learning,2
2017-02-08,Assignment 6: LSTM,Google Udacity Deep learning,6
2017-02-10,Assignment 6: LSTM,Google Udacity Deep learning,3
2015-09-30,Awk blog,Machine learning,2
2018-02-17,Behavioral,2017 Job change,3
2018-02-18,Behavioral,2017 Job change,1
2016-05-08,Beyond ToDoist podcast,Podcast ,1
2016-05-18,Beyond ToDoist podcast,Podcast ,1
2016-05-31,Beyond ToDoist podcast,Podcast ,1
2016-07-03,Beyond ToDoist podcast,Podcast ,1
2016-08-21,Beyond ToDoist podcast,Podcast ,1
2016-05-08,Beyond Todo list,Podcast,1
2016-04-11,Biking,Exercises ,1
2016-04-14,Biking stationary,Habbit,1
2016-04-16,Biking stationary,Habbit,1
2016-05-10,Biking stationary,Habbit,1
2016-05-15,Biking stationary,Habbit,1
2016-05-17,Biking stationary,Habbit,1
2016-05-24,Biking stationary,Habbit,1
2016-06-06,Biking stationary,Habbit,1
